	100CHE6KO	101CHE6WT	104CHE6KO	106CHE6WT	107CHE6KO	108CHE6KO	10CMK6KO	110CHE6WT	111CHE6KO	112CHE6KO	113CHE6WT	114CHE6WT	116CHE6KO	11CMK6WT	12CMK6WT	14CMK6KO	16CMK6KO	17CMK6WT	18CMK6KO	19CMK6WT	1CMK6WT	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	25CMK6KO	26CMK6WT	27CMK6WT	28CMK6KO	29CMK6WT	2CMK6KO	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	35CMK6KO	36CMK6WT	37CMK6WT	3CMK6WT	40CMK6WT	41CMK8WT	42CMK8KO	43CMK8WT	44CMK8KO	45CMK8WT	46CMK8WT	48CMK8KO	49CMK8KO	4CMK6KO	50CMK8KO	51CMK8WT	52CMK8WT	53CMK8HET	54CMK8KO	55CMK8HET	56CMK8KO	58CMK8KO	59CMK8WT	5CMK6WT	60CMK8KO	61CMK8WT	62CMK8KO	64CMK8KO	65CMK8KO	66CMK8WT	67CMK8WT	68CMK8KO	69CMK8WT	6CMK6WT	70CMK8KO	71CMK8WT	72CMK8KO	73CMK8WT	74CMK8KO	76CMK8WT	78CMK8KO	79CMK8KO	7CMK6KO	80CMK8WT	81CHE6WT	82CHE6WT	83CHE6KO	84CHE6KO	85CHE6WT	86CHE6WT	87CHE6KO	88CHE6KO	89CHE6WT	8CMK6KO	90CHE6WT	91CHE6KO	92CHE6KO	93CHE6WT	96CHE6KO	97CHE6WT	98CHE6WT	99CHE6KO	9CMK6KO
58CMK8KO	0.189099033	0.13956124	0.194096732	0.222144817	0.132571859	0.156508146	0.12559032	0.214747097	0.103063865	0.145190965	0.242220947	0.218375978	0.323743832	0.125613194	0.161245431	0.110129825	0.161685128	0.28599032	0.110516744	0.098832453	0.107646942	0.089545235	0.134897034	0.067534271	0.094144819	0.096040825	0.07436022	0.078009992	0.190252588	0.06412108	0.094675507	0.138690189	0.195754307	0.080285179	0.112881551	0.167471996	0.079731422	0.074598749	0.094870463	0.13226694	0.113309431	0.088283313	0.073245477	0.082073987	0.081455513	0.067096691	0.103108177	0.121336581	0.191437109	0.11135915	0.152064388	0.153404031	0.061727767	0.063017548	0.0469203	0.101466432	0.181514973	0.0	0.137832133	0.084430717	0.089798245	0.221006137	0.195262545	0.142593258	0.0578761	0.091477454	0.083094835	0.211101217	0.069506693	0.231346204	0.107477077	0.054087587	0.048393626	0.18372384	0.08073961	0.073895187	0.079215114	0.154117867	0.207933949	0.084385645	0.123591722	0.118613735	0.186744944	0.137816467	0.141645944	0.11695845	0.119564239	0.172889914	0.170336353	0.099924626	0.120631173	0.147603081	0.147701802	0.209576671	0.252376179	0.117147904	0.135685431	0.153161479	0.150016963
59CMK8WT	0.191564898	0.225436627	0.196820023	0.232868164	0.200437306	0.161139651	0.136677789	0.211296312	0.188937024	0.2181607	0.262148228	0.214780535	0.325045711	0.146728343	0.16658271	0.156158796	0.175898661	0.239492147	0.140519087	0.123321294	0.176615551	0.140923322	0.139465635	0.112405114	0.145176132	0.117166188	0.144509107	0.113098935	0.170134763	0.144324653	0.18976842	0.195764006	0.199713248	0.197263824	0.169864352	0.192200015	0.159839595	0.141565516	0.152402518	0.211716923	0.197031654	0.156206736	0.158666278	0.17125024	0.166653938	0.161666822	0.1229071	0.136478268	0.19543064	0.170367529	0.223497999	0.172156496	0.146424556	0.136454091	0.162166097	0.129589789	0.21035154	0.137832133	0.0	0.175302594	0.119169778	0.186603842	0.20401593	0.163329625	0.136345665	0.111595487	0.132125232	0.19768342	0.1628151	0.235512793	0.139129462	0.154183272	0.162989927	0.169001389	0.173235169	0.13358823	0.182569967	0.199158752	0.223870572	0.196031282	0.194480755	0.191279256	0.197206513	0.206992088	0.206581745	0.190968045	0.183830542	0.171575665	0.233875584	0.161046005	0.195405688	0.20125686	0.212363971	0.22570184	0.256358198	0.190937917	0.20017426	0.17792307	0.159659962
5CMK6WT	0.237505576	0.150843039	0.238136849	0.265341964	0.135790508	0.201421223	0.185428401	0.262475102	0.142787728	0.108030528	0.301613924	0.265124845	0.370591127	0.188181475	0.207639546	0.166422452	0.210033635	0.331784113	0.159326459	0.11681464	0.070434445	0.137654012	0.179514553	0.118929236	0.104313542	0.15040178	0.060362839	0.127344911	0.225249107	0.062492657	0.059798942	0.184094976	0.2376895	0.086057592	0.072493038	0.206877987	0.117749399	0.085444404	0.14225083	0.083823719	0.150062684	0.085550206	0.10440922	0.051045592	0.055835628	0.05484236	0.146038858	0.16389036	0.247119682	0.160421697	0.111498529	0.199139228	0.105081996	0.105601901	0.089250335	0.153824331	0.244779646	0.084430717	0.175302594	0.0	0.137011658	0.259111084	0.247410386	0.196127893	0.078617815	0.128316523	0.109925716	0.257917848	0.072907342	0.278547819	0.14965888	0.110039302	0.090467653	0.222952627	0.054827693	0.136774838	0.122513049	0.208817522	0.262713678	0.11295884	0.168293269	0.14519277	0.234758067	0.16566657	0.152532697	0.122642175	0.179198304	0.217757667	0.159897382	0.140947937	0.12140883	0.196314106	0.135419791	0.269756726	0.296120466	0.161952341	0.153977816	0.200891902	0.202269888
60CMK8KO	0.138688752	0.166509423	0.149481139	0.190255428	0.136361664	0.115731673	0.088039117	0.164502078	0.14560746	0.172921594	0.217995872	0.169499819	0.279793389	0.109584693	0.12112388	0.108756864	0.121193545	0.222793435	0.069177205	0.107082332	0.129233143	0.0474991	0.079198271	0.087110068	0.123070186	0.070544874	0.125534807	0.083147251	0.153320861	0.101160833	0.140520314	0.11037551	0.160767736	0.15236941	0.133180334	0.137358899	0.115914633	0.114283028	0.087598368	0.164707663	0.150240672	0.110525046	0.112480392	0.128279252	0.126694698	0.126137336	0.060178592	0.084613444	0.144807846	0.078951869	0.178252243	0.115565984	0.085489376	0.089101199	0.113370945	0.106336565	0.168629406	0.089798245	0.119169778	0.137011658	0.0	0.169382348	0.151210634	0.111015611	0.121807643	0.109986771	0.100428612	0.15824462	0.12120978	0.178418701	0.063122852	0.09906266	0.116069181	0.141088847	0.131490763	0.075702296	0.117544889	0.148587282	0.17812685	0.147555762	0.112062617	0.14339608	0.148212531	0.161821508	0.169102079	0.146578747	0.140090646	0.122699751	0.195182356	0.071524551	0.15218303	0.136249448	0.174537037	0.183689406	0.205708156	0.125158619	0.161817672	0.104043652	0.099738722
61CMK8WT	0.157882394	0.277774765	0.157688113	0.169010256	0.257438312	0.183951409	0.149094321	0.13830211	0.267120378	0.295569048	0.145230642	0.135415887	0.213763833	0.172639225	0.139812334	0.180587796	0.112267669	0.128895147	0.143826675	0.212423554	0.258797679	0.163348176	0.128138749	0.209134984	0.240493106	0.18077721	0.225689847	0.178902747	0.124017571	0.238811781	0.260172198	0.218191972	0.099032888	0.267298032	0.253584564	0.131362715	0.221187315	0.236033504	0.183325988	0.288573443	0.269279136	0.234056724	0.237592162	0.25120233	0.24731839	0.244383468	0.17030248	0.14959973	0.101195948	0.205590239	0.305510903	0.176479832	0.205855016	0.211405221	0.228483303	0.200833385	0.142906094	0.221006137	0.186603842	0.259111084	0.169382348	0.0	0.101452566	0.128272211	0.221594187	0.209489443	0.191812326	0.115685046	0.248056832	0.114762599	0.163918282	0.223165842	0.233048871	0.092837547	0.250265955	0.195628688	0.238083583	0.177754984	0.1034036	0.261961332	0.225215297	0.268129482	0.219204311	0.28322399	0.283574515	0.272173761	0.259519714	0.177161117	0.309280966	0.168886557	0.277736068	0.246696658	0.296712583	0.196651288	0.123431078	0.248442015	0.283727752	0.192208332	0.16727404
62CMK8KO	0.148952286	0.259784771	0.134468463	0.139300476	0.245177256	0.165330171	0.115661245	0.119007652	0.24605226	0.282506228	0.122187956	0.109206819	0.183728411	0.143450837	0.11489493	0.156239734	0.091897203	0.130341225	0.128343577	0.228447386	0.245100057	0.150711464	0.146725887	0.2076166	0.245132518	0.150723446	0.233275519	0.175578047	0.125486199	0.219240799	0.237190686	0.213571356	0.090870616	0.250843226	0.256046726	0.119268279	0.216454289	0.221968672	0.157454874	0.278390073	0.244142708	0.222441272	0.218648758	0.240647628	0.2373126	0.238434068	0.162111476	0.135219388	0.078053684	0.191530073	0.294938811	0.147773328	0.194045902	0.202591695	0.214727907	0.183804549	0.10771348	0.195262545	0.20401593	0.247410386	0.151210634	0.101452566	0.0	0.081895561	0.225076523	0.207077005	0.202807716	0.085020508	0.217050572	0.077601509	0.151608004	0.193613252	0.219001609	0.096006303	0.242172283	0.157364114	0.208908801	0.15395644	0.083143478	0.23986599	0.207868159	0.236800918	0.184536197	0.244907982	0.259463589	0.252568403	0.233752774	0.158863971	0.272868592	0.163369947	0.251709746	0.206130376	0.265719143	0.154591534	0.117626476	0.224972301	0.250055598	0.177055456	0.124123068
64CMK8KO	0.118052741	0.21758125	0.10691563	0.120628571	0.213969067	0.125193326	0.068172924	0.124259047	0.203185241	0.250432849	0.148234851	0.124036362	0.225412946	0.09449169	0.066616805	0.099240189	0.061062284	0.170303604	0.083284046	0.193454707	0.210996186	0.105683441	0.109856894	0.161478213	0.200553041	0.103073879	0.182660266	0.12175024	0.093450094	0.171222978	0.190555459	0.181953629	0.109364111	0.195458723	0.216263543	0.083170342	0.157289118	0.174636867	0.102640051	0.23956351	0.187259667	0.184889173	0.174915161	0.190998893	0.189700323	0.185867439	0.127392815	0.090869341	0.089004311	0.1558282	0.257869532	0.106886351	0.146443285	0.156235158	0.160865314	0.131004244	0.103530599	0.142593258	0.163329625	0.196127893	0.111015611	0.128272211	0.081895561	0.0	0.169381708	0.1472667	0.147436927	0.094337449	0.170442781	0.11610805	0.115341571	0.141394243	0.170388122	0.077154314	0.19255683	0.110446111	0.153383116	0.098525721	0.110841855	0.182936949	0.173514776	0.198556805	0.143317206	0.210135715	0.225881124	0.20936516	0.191628047	0.128307968	0.247893721	0.120832828	0.210756563	0.180946495	0.228765876	0.119813833	0.148239705	0.184589838	0.214917629	0.145079403	0.090455537
65CMK8KO	0.219130551	0.154570182	0.218390846	0.246217263	0.153220361	0.18277012	0.158542664	0.244715863	0.119574061	0.151931069	0.269597117	0.246928458	0.349468626	0.154429774	0.179510897	0.138512881	0.184757962	0.28101942	0.146272724	0.082473289	0.11208589	0.126438917	0.165647016	0.064621557	0.075983445	0.112880383	0.052953226	0.082287882	0.181930622	0.07169607	0.095252779	0.168720943	0.222593827	0.091750515	0.102732029	0.193667184	0.08366894	0.066194055	0.118660139	0.133312902	0.124081221	0.090661343	0.094341753	0.086988885	0.088971609	0.059761997	0.113713339	0.148931951	0.225281323	0.139527976	0.157473672	0.178434163	0.085161221	0.07652863	0.07054606	0.122626882	0.208076207	0.0578761	0.136345665	0.078617815	0.121807643	0.221594187	0.225076523	0.169381708	0.0	0.078138902	0.069238659	0.213300355	0.069141685	0.257012184	0.135552045	0.079685041	0.071089514	0.184872622	0.084854912	0.105090849	0.101534278	0.177490399	0.234094197	0.091222405	0.150437356	0.136384177	0.21243643	0.155087141	0.155746288	0.130135776	0.145945589	0.200250416	0.181115023	0.126742952	0.133511477	0.173894787	0.156704188	0.234993399	0.279238953	0.143338314	0.152038443	0.182891199	0.179491161
66CMK8WT	0.197850905	0.168523594	0.20150315	0.217340343	0.183285171	0.170248152	0.15065398	0.231100691	0.159478079	0.199249731	0.255992693	0.23113487	0.326132604	0.142589944	0.155996653	0.118839497	0.171916078	0.249105046	0.129060606	0.117131377	0.156191296	0.110253255	0.15456225	0.087825135	0.131492735	0.106126115	0.09757495	0.072990328	0.14554546	0.114273444	0.123911643	0.179663625	0.213520757	0.124524337	0.149907739	0.162720204	0.081884572	0.105858321	0.092815275	0.18322336	0.115674569	0.125192901	0.128565091	0.133996261	0.135908009	0.117575219	0.094336871	0.139526191	0.214375629	0.156518156	0.20607363	0.148988451	0.104415349	0.103134348	0.105087068	0.122898842	0.195310599	0.091477454	0.111595487	0.128316523	0.109986771	0.209489443	0.207077005	0.1472667	0.078138902	0.0	0.058677457	0.187270011	0.115190695	0.236744502	0.127950535	0.100754433	0.11494692	0.16740313	0.132573134	0.100172089	0.098274304	0.154201873	0.228726639	0.107782637	0.157071068	0.158055547	0.179749626	0.168155633	0.193526404	0.167915734	0.161749383	0.183369384	0.212519125	0.11454242	0.163137809	0.167511717	0.19446667	0.215271403	0.254152821	0.158825828	0.179143867	0.164289515	0.157215823
67CMK8WT	0.18794421	0.145747317	0.193430051	0.214056484	0.168635422	0.153816633	0.145787429	0.22119571	0.152577062	0.178603716	0.246929174	0.221586039	0.322825145	0.145630055	0.154662142	0.106818374	0.160338675	0.262110313	0.117936621	0.112676726	0.142964199	0.100738218	0.134312187	0.086433862	0.127363006	0.100954366	0.082726025	0.066277947	0.140061171	0.100893447	0.109746556	0.156701908	0.193456372	0.104972076	0.133536402	0.144912791	0.062101503	0.10334564	0.086076668	0.166987129	0.110130642	0.118301092	0.113672206	0.114581682	0.110252714	0.097458988	0.088433226	0.11630147	0.203208598	0.139405529	0.193714965	0.14469687	0.0818389	0.091537907	0.076815455	0.127753529	0.195037188	0.083094835	0.132125232	0.109925716	0.100428612	0.191812326	0.202807716	0.147436927	0.069238659	0.058677457	0.0	0.188706606	0.10371575	0.234533289	0.108793908	0.091145368	0.091362395	0.153042755	0.106221047	0.093557858	0.077743291	0.145423226	0.21388839	0.09540701	0.141279691	0.154541204	0.184129947	0.171209834	0.188938757	0.159077599	0.1580488	0.173023795	0.211100966	0.094556251	0.158051138	0.163392884	0.190070907	0.222139514	0.240073778	0.145951079	0.176511346	0.152425894	0.160350482
